rowID,PARGROUP,PRNAM,CAS,DTYPE,PARAM,MUNIT,MATRX,BASIS,METPT,METOA,Note,AphiaID,Species,P01_Code,P01,P01_label,S06_label,S07_label,S27_label,S02_label,S26_label,S25_label,TAXON,S09_label,S10_label,S11_label,S12_label,S13_label,S14_label,S15_label,S06,S07,S27,S02,S26,S25,S09,S10,S11,S12,S13,S14,S15
0,-9,anthracene,120-12-7,CS,ANT,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000127,Concentration of anthracene {CAS 120-12-7} per unit dry weight of sediment <1000um,Concentration,not specified,anthracene,per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS002027,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
1,-9,benzo[a]pyrene,50-32-8,CS,BAP,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000012,Concentration of benzo(a)pyrene {CAS 50-32-8} per unit dry weight of sediment <1000um,Concentration,not specified,benzo(a)pyrene,per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001908,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
2,-9,"2,2',4,5,5'-pentachlorobiphenyl (CB101)",37680-73-2,CS,CB101,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000065,"Concentration of 2,2',4,5,5'-pentachlorobiphenyl {PCB101 CAS 37680-73-2} per unit dry weight of sediment <1000um",Concentration,not specified,"2,2',4,5,5'-pentachlorobiphenyl",per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001803,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
3,-9,"2,3,3',4,4'-pentachlorobiphenyl (CB105)",32598-14-4,CS,CB105,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000150,"Concentration of 2,3,3',4,4'-pentachlorobiphenyl {PCB105 CAS 32598-14-4} per unit dry weight of sediment <1000um",Concentration,not specified,"2,3,3',4,4'-pentachlorobiphenyl",per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001089,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
4,-9,"2,3',4,4',5-pentachlorobiphenyl (CB118)",31508-00-6,CS,CB118,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000122,"Concentration of 2,3',4,4',5-pentachlorobiphenyl {PCB118 CAS 31508-00-6} per unit dry weight of sediment <1000um",Concentration,not specified,"2,3',4,4',5-pentachlorobiphenyl",per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001061,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
5,-9,"2,2',3,4,4',5'-hexachlorobiphenyl (CB138)",35065-28-2,CS,CB138,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000151,"Concentration of 2,2',3,4,4',5'-hexachlorobiphenyl {PCB138 CAS 35065-28-2} per unit dry weight of sediment <1000um",Concentration,not specified,"2,2',3,4,4',5'-hexachlorobiphenyl",per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001719,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
6,-9,"2,2',4,4',5,5'-hexachlorobiphenyl (CB153)",35065-27-1,CS,CB153,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000047,"Concentration of 2,2',4,4',5,5'-hexachlorobiphenyl {PCB153 CAS 35065-27-1} per unit dry weight of sediment <1000um",Concentration,not specified,"2,2',4,4',5,5'-hexachlorobiphenyl",per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001530,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
7,-9,"2,2',3,4,4',5,5'-heptachlorobiphenyl (CB180)",35065-29-3,CS,CB180,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000048,"Concentration of 2,2',3,4,4',5,5'-heptachlorobiphenyl {PCB180 CAS 35065-29-3} per unit dry weight of sediment <1000um",Concentration,not specified,"2,2',3,4,4',5,5'-heptachlorobiphenyl",per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001733,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
8,-9,"2,4,4'-trichlorobiphenyl (CB28)",7012-37-5,CS,CB28,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000106,"Concentration of 2,4,4'-trichlorobiphenyl {PCB28 CAS 7012-37-5} per unit dry weight of sediment <1000um",Concentration,not specified,"2,4,4'-trichlorobiphenyl",per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001859,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
9,-9,"2,2',5,5'-tetrachlorobiphenyl (CB52)",35693-99-3,CS,CB52,ug/kg,SED1000,D,-9,-9,-9,-9,-9,-9,IC000028,"Concentration of 2,2',5,5'-tetrachlorobiphenyl {PCB52 CAS 35693-99-3} per unit dry weight of sediment <1000um",Concentration,not specified,"2,2',5,5'-tetrachlorobiphenyl",per unit dry weight of,sediment <1000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001047,S041,MAT01975,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
