PARGROUP,PARAM,PRNAM,CAS,S27_label,S27
-9,CD,cadmium,7440-43-9,manual mapping required,
-9,CU,copper,7440-50-8,manual mapping required,
-9,HG,mercury,7439-97-6,manual mapping required,
-9,PB,lead,7439-92-1,manual mapping required,
-9,ZN,zinc,7440-66-6,manual mapping required,
-9,AL,aluminium,7429-90-5,manual mapping required,
-9,LI,lithium,7439-93-2,manual mapping required,
-9,CR,chromium,7440-47-3,manual mapping required,
-9,TBTIN,tributyltin (TBT) - expressed as Sn-atom,GM,manual mapping required,
-9,TPTIN,triphenyltin - expressed as Sn-atom,GM,manual mapping required,
-9,BBJKF,"benzo[b+j,k]fluoranthene",GM,manual mapping required,
-9,BDE66,"2,3',4,4'-tetrabromodiphenyl ether (BDE66)",189084-61-5,manual mapping required,
-9,CHRTR,chrysene + triphenylene,GM,manual mapping required,
-9,HCEPC,"cis-heptachlorepoxide ""(alpha)""",1024-57-3,manual mapping required,
-9,NI,nickel,7440-02-0,manual mapping required,
-9,OCDAN,oxychlordane,26880-48-8,manual mapping required,
-9,AS,arsenic,7440-38-2,manual mapping required,
-9,BBKF,benzo[b+k]fluoranthene,GM,manual mapping required,
OC-CL,HCEPC,"cis-heptachlorepoxide ""(alpha)""",1024-57-3,manual mapping required,
O-BR,BDE66,"2,3',4,4'-tetrabromodiphenyl ether (BDE66)",189084-61-5,manual mapping required,
OC-DN,OCDAN,oxychlordane,26880-48-8,manual mapping required,
I-MET,AL,aluminium,7429-90-5,manual mapping required,
I-MET,PB,lead,7439-92-1,manual mapping required,
I-MET,HG,mercury,7439-97-6,manual mapping required,
I-MET,NI,nickel,7440-02-0,manual mapping required,
I-MET,AS,arsenic,7440-38-2,manual mapping required,
I-MET,CD,cadmium,7440-43-9,manual mapping required,
I-MET,CR,chromium,7440-47-3,manual mapping required,
I-MET,CU,copper,7440-50-8,manual mapping required,
I-MET,ZN,zinc,7440-66-6,manual mapping required,
O-PAH,BBKF,benzo[b+k]fluoranthene,GM,manual mapping required,
OC-CB,CB138+163,CB138 + CB163,GM,manual mapping required,
OC-CB,CB56+60,CB56 + CB60,GM,manual mapping required,
OC-DX,CDFDX,"1,2,3,4,7,8/1,2,3,4,7,9-hexachloro-dibenzofuran",GM,manual mapping required,
OC-DX,CDFO,octachloro-dibenzofuran (group),GM,manual mapping required,
O-BR,PEBDE,penta-bromodiphenyl ether (sum of congeners),GM,manual mapping required,
OC-CB,SCB7,"sum of CBs.- Sum of (CB28, CB52, CB101, CB118, CB138, CB153, CB180)",GM,manual mapping required,
O-MET,TBTIN,tributyltin (TBT) - expressed as Sn-atom,GM,manual mapping required,
O-MET,TPTIN,triphenyltin - expressed as Sn-atom,GM,manual mapping required,
O-PAH,BBJKF,"benzo[b+j,k]fluoranthene",GM,manual mapping required,
O-PAH,CHRTR,chrysene + triphenylene,GM,manual mapping required,
OC-DD,DDTEP,"DDT (p,p') + DDE (p,p')",GM,manual mapping required,
O-BR,HPBDE,hepta-bromodiphenyl ether (sum of congeners),GM,manual mapping required,
O-BR,HXBDE,hexa-bromodiphenyl ether (sum of congeners),GM,manual mapping required,
O-BR,NBDE,nonabromodiphenyl ether (sum of congeners),GM,manual mapping required,
O-BR,OBDE,octa-bromodiphenyl ether (sum of congeners),GM,manual mapping required,
O-BR,TEBDE,tetra-bromodiphenyl ether (sum of congeners),GM,manual mapping required,
O-BR,TRBDE,tri-bromodiphenyl ether (sum of congeners),GM,manual mapping required,
O-FL,PFOSA,perfluorooctylsulfonate acid amide,NV,manual mapping required,
