rowID,PARGROUP,PRNAM,CAS,DTYPE,PARAM,MUNIT,MATRX,BASIS,METPT,METOA,Note,AphiaID,Species,P01_Code,P01,P01_label,S06_label,S07_label,S27_label,S02_label,S26_label,S25_label,TAXON,S09_label,S10_label,S11_label,S12_label,S13_label,S14_label,S15_label,S06,S07,S27,S02,S26,S25,S09,S10,S11,S12,S13,S14,S15
56,-9,aluminium,7429-90-5,CS,AL,mg/kg,SED2000,D,-9,-9,-9,-9,-9,ALSEDBD1,ALSEDBD1,Concentration of aluminium {Al CAS 7429-90-5} per unit dry weight of sediment <2000um,Concentration,not specified,Aluminium,per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS002991,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
84,-9,calcium carbonate,471-34-1,CS,CACO3,%,SED2000,D,-9,-9,-9,-9,-9,PCACX015,PCACX015,Proportion of calcium carbonate {CaCO3 CAS 471-34-1} per unit dry weight of sediment <2000um,Proportion,not specified,calcium carbonate,per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600018,S0700006,CS003129,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
86,-9,"2,2',4,5,5'-pentachlorobiphenyl (CB101)",37680-73-2,CS,CB101,ug/kg,SED2000,D,-9,-9,-9,-9,-9,CB101SBD,CB101SBD,"Concentration of 2,2',4,5,5'-pentachlorobiphenyl {PCB101 CAS 37680-73-2} per unit dry weight of sediment <2000um",Concentration,not specified,"2,2',4,5,5'-pentachlorobiphenyl",per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001803,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
89,-9,"2,3,3',4,4'-pentachlorobiphenyl (CB105)",32598-14-4,CS,CB105,ug/kg,SED2000,D,-9,-9,-9,-9,-9,CB105SBD,CB105SBD,"Concentration of 2,3,3',4,4'-pentachlorobiphenyl {PCB105 CAS 32598-14-4} per unit dry weight of sediment <2000um",Concentration,not specified,"2,3,3',4,4'-pentachlorobiphenyl",per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001089,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
93,-9,"2,3',4,4',5-pentachlorobiphenyl (CB118)",31508-00-6,CS,CB118,ug/kg,SED2000,D,-9,-9,-9,-9,-9,CB118SBD,CB118SBD,"Concentration of 2,3',4,4',5-pentachlorobiphenyl {PCB118 CAS 31508-00-6} per unit dry weight of sediment <2000um",Concentration,not specified,"2,3',4,4',5-pentachlorobiphenyl",per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001061,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
96,-9,"2,2',3,4,4',5'-hexachlorobiphenyl (CB138)",35065-28-2,CS,CB138,ug/kg,SED2000,D,-9,-9,-9,-9,-9,CB138SBD,CB138SBD,"Concentration of 2,2',3,4,4',5'-hexachlorobiphenyl {PCB138 CAS 35065-28-2} per unit dry weight of sediment <2000um",Concentration,not specified,"2,2',3,4,4',5'-hexachlorobiphenyl",per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001719,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
99,-9,"2,2',4,4',5,5'-hexachlorobiphenyl (CB153)",35065-27-1,CS,CB153,ug/kg,SED2000,D,-9,-9,-9,-9,-9,CB153SBD,CB153SBD,"Concentration of 2,2',4,4',5,5'-hexachlorobiphenyl {PCB153 CAS 35065-27-1} per unit dry weight of sediment <2000um",Concentration,not specified,PCB 153,per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001530,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
101,-9,"2,3,3',4,4',5-hexachlorobiphenyl (CB156)",38380-08-4,CS,CB156,ug/kg,SED2000,D,-9,-9,-9,-9,-9,CB156SBD,CB156SBD,"Concentration of 2,3,3',4,4',5-hexachlorobiphenyl {PCB156 CAS 38380-08-4} per unit dry weight of sediment <2000um",Concentration,not specified,"2,3,3',4,4',5-hexachlorobiphenyl",per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001082,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
103,-9,"2,2',3,4,4',5,5'-heptachlorobiphenyl (CB180)",35065-29-3,CS,CB180,ug/kg,SED2000,D,-9,-9,-9,-9,-9,CB180SBD,CB180SBD,"Concentration of 2,2',3,4,4',5,5'-heptachlorobiphenyl {PCB180 CAS 35065-29-3} per unit dry weight of sediment <2000um",Concentration,not specified,PCB 180,per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001733,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
106,-9,"2,4,4'-trichlorobiphenyl (CB28)",7012-37-5,CS,CB28,ug/kg,SED2000,D,-9,-9,-9,-9,-9,CB28SDBD,CB28SDBD,"Concentration of 2,4,4'-trichlorobiphenyl {PCB28 CAS 7012-37-5} per unit dry weight of sediment <2000um",Concentration,not specified,PCB 28,per unit dry weight of,sediment <2000um,not applicable,not specified,not specified,not specified,not specified,not specified,not specified,not specified,not specified,S0600045,S0700006,CS001859,S041,MAT00080,BE007736,S09133,S104,S1131,S1219,S1319,S1430,S152
