AphiaID,TAXON
104103,Scaphocalanus / Scolecithricella (ITIS: 593500: WoRMS 104103)
104103,Scolecitrichidae (ITIS: 593500: WoRMS 104103)
,
104120,Euchirella (ITIS: 85451: WoRMS 104120)
104120,Euchirella rostrata / Euchirella rostromagna (ITIS: 85451: WoRMS 104120)
,
104152,Calanus (ITIS: 85263: WoRMS 104152)
104152,Calanus finmarchicus/helgolandicus/glacialis (ITIS: 85263: WoRMS 104152)
,
104467,Calanus hyperboreus (ITIS: 85266: WoRMS 104467)
104467,Calanus hypoboreus (ITIS: 85266: WoRMS 104467)
,
109391,Gonyaulacales (ITIS: 573275: WoRMS 109391)
109391,Scrippsiella+Alexandrium (ITIS: 573275: WoRMS 109391)
,
109410,Gymnodiniaceae (ITIS: 9996: WoRMS 109410)
109410,Gyrodinium aureolum+Gymnodinium breve (ITIS: 9996: WoRMS 109410)
,
109475,Gymnodinium (ITIS: 10031: WoRMS 109475)
109475,Gymnodinium-like (ITIS: 10031: WoRMS 109475)
,
109487,Pronoctiluca (ITIS: 10143: WoRMS 109487)
109487,Pronoctiluca acuta / spinifera / pelagica (ITIS: 10143: WoRMS 109487)
,
109527,Corythodinium (ITIS: 183946: WoRMS 109527)
109527,Corythodinium tessellatum / reticulatum (ITIS: 183946: WoRMS 109527)
,
109549,Peridinium (ITIS: 10212: WoRMS 109549)
109549,Peridinium cerasus / ovatum (ITIS: 10212: WoRMS 109549)
109549,Peridinium diabolum / pallidum (ITIS: 10212: WoRMS 109549)
,
109571,Pyrocystis (ITIS: 10551: WoRMS 109571)
109571,Pyrocystis lunula-P. hamulus complex (ITIS: 10551: WoRMS 109571)
109571,Pyrocystis lunula-P. robusta complex (ITIS: 10551: WoRMS 109571)
,
1100,Calanoida (ITIS: 85258: WoRMS 1100)
1100,Clausocalanus / Ctenocalanus / Paracalanus (ITIS: 85258: WoRMS 1100)
1100,Paracalanus / Pseudocalanus (ITIS: 85258: WoRMS 1100)
,
110260,Protoperidinium thoranium (ITIS: 10239: WoRMS 110260)
110260,Protoperidinium thorianum (ITIS: 10239: WoRMS 110260)
,
110673,Euphausia (ITIS: 95501: WoRMS 110673)
